ra,ano,fase_original,fase,fase_ideal_original,fase_ideal,idade,flag_idade_formato_excel,ano_nascimento,genero,ano_ingresso,tipo_instituicao,ian,ida,ieg,iaa,ips,ipp,ipv,flag_ipp_ausencia_estrutural,nota_matematica,nota_portugues,nota_ingles,quantidade_avaliacoes,avaliadores_preenchidos,defasagem,defasagem_calculada,classe_defasagem,inde_original,inde,motivo_inde_ausente,pedra_original,pedra,flag_defasagem_inconsistente,flag_iaa_zero,flag_ieg_zero,flag_ieg_zero_ida_ausente,flag_ingles_ausente_fase_0_2,flag_quantidade_avaliacoes_divergente,flag_conflito_ano_nascimento,flag_conflito_ano_ingresso,flag_conflito_genero,flag_ian_fora_escala,flag_ida_fora_escala,flag_ieg_fora_escala,flag_iaa_fora_escala,flag_ips_fora_escala,flag_ipp_fora_escala,flag_ipv_fora_escala
RA-1005,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2015,Masculino,2023,Pública,10.0,8.8,7.9,9.5,7.52,7.5,8.165,False,8.4,9.2,,2.0,2,0,0,Em fase,8.4252,8.4252,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1006,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2015,Feminino,2023,Pública,10.0,8.7,9.3,9.0,7.52,7.5,8.0,False,8.7,8.6,,2.0,2,0,0,Em fase,8.5922,8.5922,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1006,2024,ALFA,0,Fase 1 (3° e 4° ano),1,9.0,False,2015,Feminino,2023,Pública,5.0,5.0,8.4444444445,8.502,7.51,7.5,7.5,False,5.0,5.0,,2.0,2,-1,-1,Moderada,7.040088888900001,7.040088888900001,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1007,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,True,2015,Masculino,2023,Pública,10.0,8.3,7.4,9.0,7.52,7.5,7.68,False,8.1,8.5,,2.0,2,0,0,Em fase,8.0782,8.0782,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1008,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2015,Masculino,2023,Pública,10.0,8.4,8.6,9.0,7.52,5.9375,7.5,False,7.5,9.2,,2.0,2,0,0,Em fase,8.13595,8.13595,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1008,2024,ALFA,0,Fase 1 (3° e 4° ano),1,9.0,False,2015,Masculino,2023,Pública,5.0,7.0,6.483957219,7.002,7.51,7.1875,7.5,False,6.5,7.5,,2.0,2,-1,-1,Moderada,6.8667414438000005,6.8667414438000005,nao_ausente,Agata,Ágata,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1009,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2015,Masculino,2023,Pública,10.0,8.8,9.0,0.0,3.77,7.5,7.84,False,8.3,9.2,,2.0,2,0,0,Em fase,7.245,7.245,nao_ausente,Ametista,Ametista,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1009,2024,ALFA,0,Fase 1 (3° e 4° ano),1,9.0,False,2015,Masculino,2023,Pública,5.0,7.5,6.8863636365000005,8.002,2.51,6.5625,6.553333333,False,10.0,5.0,,3.0,3,-1,-1,Moderada,6.395389393900001,6.395389393900001,nao_ausente,Agata,Ágata,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-101,2022,4,4,Fase 5 (1º EM),5,15.0,False,2007,Feminino,2021,Escola Pública,5.0,7.6,8.3,7.9,7.5,,6.833,True,7.2,6.5,9.2,4.0,4,-1,-1,Moderada,7.305,7.305,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1010,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2015,Masculino,2023,Pública,10.0,9.4,10.0,9.5,3.77,7.8125,8.59,False,9.0,9.8,,2.0,2,0,0,Em fase,8.70645,8.70645,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1011,2023,ALFA,0,ALFA (1° e 2° ano),0,7.0,True,2015,Masculino,2023,Pública,10.0,5.2,8.6,9.5,3.77,7.1875,7.675,False,5.5,4.8,,2.0,2,0,0,Em fase,7.33095,7.33095,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1012,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2015,Feminino,2023,Pública,10.0,6.6,9.9,10.0,3.77,7.1875,7.845,False,7.0,6.2,,2.0,2,0,0,Em fase,7.96495,7.96495,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1012,2024,ALFA,0,Fase 1 (3° e 4° ano),1,9.0,False,2015,Feminino,2023,Pública,5.0,9.75,9.523809524,9.502,2.51,8.125,8.443333333,False,10.0,9.5,,3.0,3,-1,-1,Moderada,8.057128571400002,8.057128571400002,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1013,2023,ALFA,0,ALFA (1° e 2° ano),0,7.0,False,2015,Masculino,2023,Pública,10.0,8.3,9.6,9.0,4.39,5.625,5.76,False,7.0,9.5,,2.0,2,0,0,Em fase,7.6237,7.6237,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1013,2024,ALFA,0,Fase 1 (3° e 4° ano),1,8.0,False,2015,Masculino,2023,Pública,5.0,7.75,5.6937799039999994,9.002,2.51,5.0,4.72,False,8.0,7.5,,3.0,3,-1,-1,Moderada,5.7839559808,5.7839559808,nao_ausente,Quartzo,Quartzo,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1014,2023,ALFA,0,ALFA (1° e 2° ano),0,7.0,True,2016,Feminino,2023,Pública,10.0,8.2,9.7,9.0,3.77,7.5,8.255,False,7.7,8.7,,2.0,2,0,0,Em fase,8.2582,8.2582,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1014,2024,ALFA,0,Fase 1 (3° e 4° ano),1,8.0,False,2016,Feminino,2023,Pública,5.0,5.25,7.8863636365000005,8.502,2.51,6.875,7.0,False,6.5,4.0,,3.0,3,-1,-1,Moderada,6.315972727300001,6.315972727300001,nao_ausente,Agata,Ágata,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1015,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,10.0,False,2013,Feminino,2023,Pública,5.0,6.3,9.3,10.0,6.27,7.34375,7.786666667,False,5.0,7.6,,3.0,3,-1,-1,Moderada,7.538908333,7.538908333,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1015,2024,2B,2,Fase 2 (5° e 6° ano),2,11.0,False,2013,Feminino,2023,Pública,10.0,4.0,7.8214285715,7.918,7.51,6.041666667,5.66,False,2.0,6.0,,3.0,3,0,0,Em fase,6.643252381000002,6.643252381000002,nao_ausente,Agata,Ágata,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1016,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,10.0,False,2013,Feminino,2023,Pública,5.0,6.7,9.5,10.0,7.52,7.34375,7.73,False,5.8,7.5,,3.0,3,-1,-1,Moderada,7.762575,7.762575,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1017,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,11.0,True,2012,Masculino,2023,Pública,5.0,7.7,8.0,0.0,5.02,7.5,8.116666667,False,7.0,8.3,,3.0,3,-1,-1,Moderada,6.505333333,6.505333333,nao_ausente,Agata,Ágata,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1017,2024,2C,2,Fase 2 (5° e 6° ano),2,12.0,False,2012,Masculino,2023,Pública,10.0,5.0,7.8095238095,9.502,6.26,7.1875,7.443333333,False,2.5,7.5,,3.0,3,0,0,Em fase,7.345521428500001,7.345521428500001,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1018,2023,FASE 1,1,Fase 1 (3° e 4° ano),1,9.0,True,2013,Masculino,2023,Pública,10.0,6.3,8.5,0.0,5.02,7.5,8.06,False,5.8,6.8,,3.0,3,0,0,Em fase,6.824,6.824,nao_ausente,Agata,Ágata,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1018,2024,1A,1,Fase 2 (5° e 6° ano),2,10.0,False,2013,Masculino,2023,Pública,5.0,8.25,7.727272727,8.502,6.26,8.4375,8.45,False,8.5,8.0,,3.0,3,-1,-1,Moderada,7.7054045454,7.7054045454,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1019,2023,FASE 1,1,ALFA (1° e 2° ano),0,8.0,False,2015,Feminino,2023,Pública,10.0,4.3,9.1,7.5,5.02,6.875,7.836666667,False,0.5,8.0,,3.0,3,1,1,Em fase,7.177033333,7.177033333,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1019,2024,1A,1,Fase 1 (3° e 4° ano),1,9.0,False,2015,Feminino,2023,Pública,10.0,8.75,9.3073593075,9.502,6.26,7.8125,8.616666667,False,9.5,8.0,,3.0,3,0,0,Em fase,8.692255194900001,8.692255194900001,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-102,2022,4,4,Fase 4 (9º ano),4,14.0,False,2008,Masculino,2019,Escola Pública,10.0,5.7,7.7,6.7,6.9,,6.0,True,4.7,6.8,5.5,4.0,4,0,0,Em fase,6.922,6.922,nao_ausente,Ágata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1020,2023,FASE 1,1,Fase 1 (3° e 4° ano),1,9.0,False,2014,Feminino,2023,Pública,10.0,6.1,9.1,10.0,2.52,7.1875,8.056666667,False,4.3,7.8,,3.0,3,0,0,Em fase,7.612283333,7.612283333,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1020,2024,1A,1,Fase 1 (3° e 4° ano),1,10.0,False,2014,Feminino,2023,Pública,10.0,9.0,9.7727272725,9.002,6.88,8.4375,8.84,False,10.0,8.0,,3.0,3,0,0,Em fase,8.9544954545,8.9544954545,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1021,2023,FASE 1,1,Fase 1 (3° e 4° ano),1,9.0,True,2014,Masculino,2023,Pública,10.0,3.3,9.2,8.0,3.77,7.1875,7.893333333,False,2.5,4.0,,3.0,3,0,0,Em fase,6.964616667,6.964616667,nao_ausente,Agata,Ágata,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1021,2024,1A,1,Fase 2 (5° e 6° ano),2,10.0,False,2014,Masculino,2023,Pública,5.0,8.0,9.318181818,9.502,7.51,8.4375,7.95,False,9.0,7.0,,3.0,3,-1,-1,Moderada,8.0985863636,8.0985863636,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1022,2023,FASE 1,1,Fase 1 (3° e 4° ano),1,9.0,False,2014,Masculino,2023,Pública,10.0,4.7,8.5,8.5,3.77,7.1875,7.893333333,False,4.7,4.7,,3.0,3,0,0,Em fase,7.164616667,7.164616667,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1022,2024,1A,1,Fase 2 (5° e 6° ano),2,10.0,False,2014,Masculino,2023,Pública,5.0,6.5,9.318181818,9.502,6.26,7.5,8.116666667,False,5.5,7.5,,3.0,3,-1,-1,Moderada,7.613169697000002,7.613169697000002,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1023,2023,FASE 1,1,Fase 1 (3° e 4° ano),1,9.0,True,2014,Feminino,2023,Pública,10.0,9.1,10.0,10.0,6.27,8.75,9.06,False,8.5,9.7,,3.0,3,0,0,Em fase,9.1342,9.1342,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1023,2024,2B,2,Fase 2 (5° e 6° ano),2,10.0,False,2014,Feminino,2023,Pública,10.0,9.5,9.511904762,9.502,9.375,8.958333333,9.563333333,False,9.0,10.0,,3.0,3,0,0,Em fase,9.498580952300001,9.498580952300001,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1024,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,10.0,False,2013,Feminino,2023,Pública,5.0,9.8,10.0,0.0,6.27,9.21875,8.95,False,10.0,9.5,,3.0,3,-1,-1,Moderada,7.788875,7.788875,nao_ausente,Ametista,Ametista,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1024,2024,1B,1,Fase 2 (5° e 6° ano),2,11.0,False,2013,Feminino,2023,Pública,5.0,10.0,10.0,8.002,7.51,8.4375,8.783333333,False,10.0,10.0,,3.0,3,-1,-1,Moderada,8.6516166666,8.6516166666,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1025,2023,FASE 1,1,Fase 1 (3° e 4° ano),1,9.0,False,2013,Masculino,2023,Pública,10.0,7.5,8.9,8.5,7.52,7.65625,7.836666667,False,7.5,7.5,,3.0,3,0,0,Em fase,8.215158333,8.215158333,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1025,2024,1A,1,Fase 2 (5° e 6° ano),2,10.0,False,2013,Masculino,2023,Pública,5.0,9.0,7.727272727,9.002,7.51,8.4375,7.783333333,False,10.0,8.0,,3.0,3,-1,-1,Moderada,7.897071212,7.897071212,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1026,2023,FASE 1,1,Fase 4 (9° ano),4,14.0,True,2009,Feminino,2023,Pública,2.5,3.2,9.8,8.5,7.52,6.40625,7.06,False,2.3,4.0,,3.0,3,-3,-3,Severa,6.494825,6.494825,nao_ausente,Agata,Ágata,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1027,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,10.0,False,2013,Feminino,2023,Pública,5.0,6.0,9.7,9.5,7.52,7.5,8.333333333,False,4.2,7.7,,3.0,3,-1,-1,Moderada,7.748866667,7.748866667,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1027,2024,2B,2,Fase 2 (5° e 6° ano),2,11.0,False,2013,Feminino,2023,Pública,10.0,5.25,10.0,9.502,7.51,7.916666667,8.39,False,6.0,4.5,,3.0,3,0,0,Em fase,8.220866666700001,8.220866666700001,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1028,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,11.0,False,2012,Masculino,2023,Pública,5.0,5.0,9.2,0.0,7.52,7.34375,7.946666667,False,5.0,5.0,,3.0,3,-1,-1,Moderada,6.415708333,6.415708333,nao_ausente,Agata,Ágata,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1028,2024,1B,1,Fase 3 (7° e 8° ano),3,12.0,False,2012,Masculino,2023,Pública,5.0,7.5,7.055335968,8.002,5.63,6.875,8.393333333,False,6.0,9.0,,3.0,3,-2,-2,Moderada,7.1404338602,7.1404338602,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1029,2023,FASE 1,1,Fase 1 (3° e 4° ano),1,9.0,False,2014,Feminino,2023,Pública,10.0,5.4,6.3,10.0,3.77,7.5,8.006666667,False,3.5,7.2,,3.0,3,0,0,Em fase,7.058533333,7.058533333,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1029,2024,1C,1,Fase 2 (5° e 6° ano),2,10.0,False,2014,Feminino,2023,Pública,5.0,8.75,8.7954545455,9.002,6.885,7.5,7.25,False,8.0,9.5,,2.0,2,-1,-1,Moderada,7.797790909100001,7.797790909100001,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-103,2022,4,4,Fase 3 (7º e 8º ano),3,13.0,False,2009,Feminino,2020,Rede Decisão,10.0,7.3,8.7,7.9,7.5,,7.708,True,7.3,7.3,7.3,4.0,4,1,1,Em fase,8.107,8.107,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-103,2023,FASE 5,5,Fase 4 (9° ano),4,14.0,False,2009,Feminino,2020,Privada - Programa de Apadrinhamento,10.0,7.1,9.2,8.3,5.0,8.125,8.09,False,7.3,6.3,7.7,4.0,4,1,1,Em fase,8.0239,8.0239,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-103,2024,5A,5,Fase 5 (1° EM),5,15.0,False,2009,Feminino,2021,Privada - Programa de Apadrinhamento,10.0,9.166666666666666,9.603174603333335,8.334,6.26,7.875,8.872,False,9.0,9.0,9.5,5.0,5,0,0,Em fase,8.775268254,8.775268254,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-1030,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,11.0,True,2012,Masculino,2023,Pública,5.0,6.9,9.7,8.5,3.77,6.875,8.39,False,6.2,7.5,,3.0,3,-1,-1,Moderada,7.4027,7.4027,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1030,2024,2D,2,Fase 2 (5° e 6° ano),2,12.0,False,2012,Masculino,2023,Pública,10.0,8.0,8.28320802,7.418,4.385,7.8125,7.61,False,10.0,6.0,,3.0,3,0,0,Em fase,7.7401916040000005,7.7401916040000005,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1031,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,10.0,False,2013,Masculino,2023,Pública,5.0,5.9,8.8,8.0,7.52,6.666666667,7.006666667,False,4.8,7.0,,3.0,3,-1,-1,Moderada,7.0602,7.0602,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1031,2024,1C,1,Fase 2 (5° e 6° ano),2,11.0,False,2013,Masculino,2023,Pública,5.0,6.25,8.6363636365,9.502,7.51,5.3125,5.83,False,5.5,7.0,,2.0,2,-1,-1,Moderada,6.8757227273,6.8757227273,nao_ausente,Agata,Ágata,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1032,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,10.0,True,2013,Masculino,2023,Pública,5.0,6.0,9.5,8.5,7.52,7.291666667,7.563333333,False,5.7,6.2,,3.0,3,-1,-1,Moderada,7.434033333,7.434033333,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1032,2024,1C,1,Fase 2 (5° e 6° ano),2,11.0,False,2013,Masculino,2023,Pública,5.0,8.0,9.75,8.502,7.51,7.8125,7.92,False,9.0,7.0,,2.0,2,-1,-1,Moderada,8.01645,8.01645,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1033,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,11.0,True,2012,Feminino,2023,Pública,5.0,7.9,8.9,9.0,7.52,8.125,9.006666667,False,7.0,8.8,,3.0,3,-1,-1,Moderada,8.126033333,8.126033333,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1034,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,10.0,False,2013,Masculino,2023,Pública,5.0,8.3,9.0,7.5,7.52,8.333333333,8.393333333,False,7.8,8.7,,3.0,3,-1,-1,Moderada,7.9642,7.9642,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1034,2024,2B,2,Fase 2 (5° e 6° ano),2,11.0,False,2013,Masculino,2023,Pública,10.0,7.5,8.0833333335,7.502,7.51,7.708333333,8.223333333,False,7.5,7.5,,3.0,3,0,0,Em fase,8.0333666666,8.0333666666,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1035,2023,FASE 1,1,Fase 1 (3° e 4° ano),1,9.0,False,2014,Masculino,2023,Pública,10.0,5.8,8.3,0.0,7.52,7.708333333,7.78,False,4.0,7.5,,3.0,3,0,0,Em fase,6.888833333,6.888833333,nao_ausente,Agata,Ágata,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1035,2024,1C,1,Fase 2 (5° e 6° ano),2,10.0,False,2014,Masculino,2023,Pública,5.0,7.0,9.0227272725,9.502,7.51,8.4375,7.92,False,6.5,7.5,,2.0,2,-1,-1,Moderada,7.833495454500001,7.833495454500001,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1036,2023,FASE 1,1,Fase 2 (5° e 6° ano),2,11.0,False,2012,Feminino,2023,Pública,5.0,8.0,9.6,0.0,3.77,9.0625,8.336666667,False,9.0,7.0,,3.0,3,-1,-1,Moderada,6.970583333,6.970583333,nao_ausente,Agata,Ágata,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
